Word,Count,POS,Definition
banjo,5,n,a stringed instrument of the guitar family that has long neck and circular body
Banks,5,n,English botanist who accompanied Captain Cook on his first voyage to the Pacific Ocean (1743-1820)
banns,5,n,a public announcement of a proposed marriage
Bantu,5,n,a family of languages widely spoken in the southern half of the African continent
Bantu,5,n,a member of any of a large number of linguistically related peoples of Central and South Africa
barbu,5,n,found along western Atlantic coast
barge,5,n,a flatbottom boat for carrying heavy loads (especially on canals)
baron,5,n,a very wealthy or powerful businessman; an oil baron
baron,5,n,a British peer of the lowest rank
baron,5,n,a nobleman (in various countries) of varying rank
Barth,5,n,United States novelist (born in 1930)
Barth,5,n,Swiss Protestant theologian (1886-1968)
barye,5,n,the absolute unit of pressure equal to one dyne per square centimeter
Basel,5,n,a city in northwestern Switzerland
basic,5,n,(usually in the plural) a necessary commodity for which demand is constant
BASIC,5,n,a popular programming language that is relatively easy to learn; an acronym for beginner's all-purpose symbolic instruction code; no longer in general use
basil,5,n,leaves of the common basil; used fresh or dried
Basil,5,n,(Roman Catholic Church) the bishop of Caesarea who defended the Roman Catholic Church against the heresies of the 4th century; a saint and Doctor of the Church (329-379)
basil,5,n,any of several Old World tropical aromatic annual or perennial herbs of the genus Ocimum
basin,5,n,a bowl-shaped vessel; usually used for holding food or liquids; she mixed the dough in a large basin
basin,5,n,a natural depression in the surface of the land often with a lake at the bottom of it; the basin of the Great Salt Lake
basin,5,n,the quantity that a basin will hold; a basinful of water
basis,5,n,the fundamental assumptions from which something is begun or developed or calculated or explained; the whole argument rested on a basis of conjecture
basis,5,n,the most important or necessary part of something; the basis of this drink is orange juice
Basra,5,n,the second largest city in Iraq; an oil port in southern Iraq
baste,5,n,a loose temporary sewing stitch to hold layers of fabric together
batch,5,n,a collection of things or persons to be handled together
batch,5,n,all the loaves of bread baked at the same time
batch,5,n,(often followed by `of') a large number or amount or extent; a batch of letters; a deal of trouble; a lot of money; he made a mint on the stock market; see the rest of the winners in our huge passel of photos; it must have cost plenty; a slew of journalists; a wad of money
bathe,5,n,the act of swimming for pleasure or recreation; the Englishman said he had a good bathe
batik,5,n,a dyed fabric; a removable wax is used where the dye is not wanted
Batis,5,n,small genus of plants constituting the family Batidaceae: low straggling dioecious shrubs
Batna,5,n,a town in north central Algeria
baton,5,n,a thin tapered rod used by a conductor to lead an orchestra or choir
baton,5,n,a hollow cylinder passed from runner to runner in a relay race
baton,5,n,a hollow metal rod that is wielded or twirled by a drum major or drum majorette
baton,5,n,a short staff carried by some officials to symbolize an office or an authority
bayat,5,n,an oath of allegiance to an emir
Bayes,5,n,English mathematician for whom Bayes' theorem is named (1702-1761)
bayou,5,n,a swampy arm or slow-moving outlet of a lake (term used mainly in Mississippi and Louisiana)
beach,5,n,an area of sand sloping down to the water of a sea or lake
beads,5,n,several beads threaded together on a string
beard,5,n,hairy growth on or near the face of certain mammals
beard,5,n,the hair growing on the lower part of a man's face
beard,5,n,a person who diverts suspicion from someone (especially a woman who accompanies a male homosexual in order to conceal his homosexuality)
beard,5,n,a tuft or growth of hairs or bristles on certain plants such as iris or grasses
beast,5,n,a cruelly rapacious person
beech,5,n,any of several large deciduous trees with rounded spreading crowns and smooth grey bark and small sweet edible triangular nuts enclosed in burs; north temperate regions
beech,5,n,wood of any of various beech trees; used for flooring and containers and plywood and tool handles
Begin,5,n,Israeli statesman (born in Russia) who (as prime minister of Israel) negotiated a peace treaty with Anwar Sadat (then the president of Egypt) (1913-1992)
begum,5,n,a Muslim woman of high rank in India or Pakistan
beige,5,n,a very light brown
being,5,n,the state or fact of existing; a point of view gradually coming into being; laws in existence for centuries; he appeared on the face of the earth one day
Beira,5,n,a port city in eastern Mozambique on the Mozambique Channel
belay,5,n,something to which a mountain climber's rope can be secured
belch,5,n,a reflex that expels gas noisily from the stomach through the mouth
Belem,5,n,port city in northern Brazil in the Amazon delta; main port and commercial center for the Amazon River basin
belle,5,n,a young woman who is the most charming and beautiful of several rivals; she was the belle of the ball
belly,5,n,the underpart of the body of certain vertebrates such as snakes or fish
belly,5,n,a protruding abdomen
belly,5,n,the hollow inside of something; in the belly of the ship
belly,5,n,a part that bulges deeply; the belly of a sail
bench,5,n,a long seat for more than one person
bench,5,n,(law) the seat for judges in a courtroom
bench,5,n,the reserve players on a team; our team has a strong bench
Bench,5,n,the magistrate or judge or judges sitting in court in judicial capacity to compose the court collectively
Benet,5,n,United States writer; brother of Stephen Vincent Benet (1886-1950)
