lemma,Count,part_of_speech,hypernyms
burns,5,verb,destroy|shine|change state|ache|feel|change integrity|execute|waste|ache|treat|discolor|produce|consume|damage
burnt,5,verb,destroy|shine|change state|ache|feel|change integrity|execute|waste|ache|treat|discolor|produce|consume|damage
burqa,5,noun,garment
burro,5,noun,domestic ass
bursa,5,noun,sac
burst,5,noun,change of integrity|fire|activity|happening
burst,5,verb,break|express emotion|change integrity|jump|have|emerge|break
busby,5,noun,hat
butat,5,noun,gambian monetary unit
butch,5,noun,lesbian
butea,5,noun,rosid dicot genus
buteo,5,noun,bird genus
butte,5,noun,hill
butty,5,noun,sandwich
butut,5,noun,gambian monetary unit
butyl,5,noun,group
buxus,5,noun,dicot genus
buyer,5,noun,customer
bvd's,5,noun,underwear
bylaw,5,noun,rule
byway,5,noun,road
cabal,5,noun,clique|plot
cabal,5,verb,plot
cabby,5,noun,driver
caber,5,noun,pole
cabin,5,noun,compartment|house|compartment
cabin,5,verb,confine
cable,5,noun,telegram|conductor|rope|linear unit|television|television
cable,5,verb,telecommunicate|fasten
ca-ca,5,verb,excrete
cacao,5,noun,angiospermous tree
cache,5,noun,storage space|store|buffer
cache,5,verb,save
caddo,5,noun,plains indian|amerind
caddy,5,noun,can
caddy,5,verb,serve
cadet,5,noun,trainee
cadge,5,verb,obtain|beg
cadra,5,noun,arthropod genus
cadre,5,noun,political unit|core
cager,5,noun,athlete
cairn,5,noun,marker|terrier
cajun,5,noun,acadian
calan,5,noun,calcium blocker
calif,5,noun,muslim;ruler
calla,5,noun,flower|monocot genus
calve,5,verb,separate|give birth
calyx,5,noun,coil
camas,5,noun,liliaceous plant
camel,5,noun,even-toed ungulate
cameo,5,noun,anaglyph
canal,5,noun,channel|passage|watercourse
canal,5,verb,supply
candy,5,noun,sweet
candy,5,verb,sweeten
canid,5,noun,carnivore
canis,5,noun,mammal genus
canna,5,noun,herb
canoe,5,noun,small boat
canoe,5,verb,boat
canon,5,noun,rule|priest|ravine|musical composition|list|scripture
canto,5,noun,voice part|section
caper,5,noun,shrub|pickle|robbery|leap|diversion|diversion
caper,5,verb,jump
capiz,5,noun,oyster
capon,5,noun,chicken|chicken
capra,5,noun,mammal genus
caput,5,noun,bulge|external body part
carat,5,noun,metric weight unit|unit of measurement
cards,5,noun,game|paper|positive identification|correspondence|cardboard|humorist|sign|greeting|record|bill|roll|printed circuit
cards,5,verb,separate|see
caret,5,noun,mark
carex,5,noun,monocot genus
cargo,5,noun,merchandise
carib,5,noun,amerindian|amerind
carob,5,noun,bean|bean tree|foodstuff
carol,5,noun,religious song|song
carol,5,verb,sing
carom,5,noun,recoil|stroke
carom,5,verb,bounce|shoot
carry,5,noun,transportation
carry,5,verb,move|have|bring|communicate|hold|include|effect|continue|imply|win|include|act;hold|have|circulate|hit|communicate|have|range|sustain|have|have|influence|compensate|promote|bear|appropriate|transfer|transfer|follow|grow|propel|drink|nourish|have|travel|obtain|win|perform|give birth
carte,5,noun,bill
carum,5,noun,rosid dicot genus
carve,5,verb,cut;shape|cut|cut
carya,5,noun,dicot genus
cased,5,verb,inspect|enclose
caste,5,noun,status|class|class|animal group
catch,5,noun,drawback|indefinite quantity|adult|object|manner of speaking|restraint|fastener|game|touch|capture
catch,5,verb,surprise|perceive|hit|seize|seize|attach|attract|get|board|get|change|control|hear|watch|learn|understand|contract|erupt|hear|hurt|attract|reproduce|roll up|spread|play|witness|delay
cater,5,verb,give|provide
catha,5,noun,gymnosperm genus
catty,5,noun,weight unit
cauda,5,noun,structure
caulk,5,noun,sealant
caulk,5,verb,seal
causa,5,noun,proceeding
cause,5,noun,origin|justification|venture|physical entity|proceeding
cause,5,verb,make
cavia,5,noun,mammal genus
cavil,5,noun,evasion
cavil,5,verb,object
