lemma,Count,part_of_speech,hyponyms
block,5,noun,anvil;briquette;cake;chock;chopping block;crosshead;cube;domino;ingot;nog;nut;pad;slab;starting block;step;swage block;type|goldbrick|cellblock;ward|bad block|writer's block|bollock;fairlead;idle pulley|breechblock;plug;vapor lock|interference;parry;trap block
block,5,verb,close;shut off|bottleneck;check;filibuster;hang;stonewall|embargo;stay|barrage jam;blanket jam;point jam;spot jam|barricade;barricade;barricade;blockade;clog;dam;land up;screen;suffocate;tie up|slip
bloke,5,noun,dog
blond,5,noun,peroxide blond;platinum blond;towhead
blood,5,noun,arterial blood;blood clot;blood group;bloodstream;cord blood;gore;lifeblood;menorrhea;venous blood;whole blood|family;side
bloom,5,noun,apetalous flower;bud;chrysanthemum;floret;inflorescence;ray flower|golden age
bloom,5,verb,effloresce
blown,5,verb,insufflate;pant;puff|bluster;breeze;set in;squall;storm;waft|stream;tide;waft|burn|blast|whiff|gloat;puff
blues,5,noun,boogie|azure;dark blue;greenish blue;powder blue;prussian blue;purplish blue;steel blue;ultramarine|union army
blunt,5,verb,dampen;obtund;petrify
board,5,noun,advisory board;appeal board;board of selectmen;directorate;draft board;federal reserve board;governing board;school board;zoning board|chipboard;deal;matchboard;skid;wale|aquaplane;breadboard;bulletin board;chopping board;drafting board;drainboard;floorboard;ironing board;kneeler;mortarboard;palette;planchette;scoreboard;sideboard;sideboard;skateboard;snowboard;springboard;surfboard;trencher;wake board;wallboard;workboard|training table|big board|dining-room table;dinner table;high table;refectory table;triclinium|dashboard|cpu board;pc board|backgammon board;checkerboard;cribbage board;dartboard;go board;monopoly board;ouija;pegboard;punchboard
board,5,verb,catch;embark;entrain|live in
boast,5,noun,brag;braggadocio;self-assertion;vaunt
boast,5,verb,gloat;puff
boeuf,5,noun,bully beef;ground beef;pastrami
boner,5,noun,bobble;bull;clanger;faux pas;fluff;fumble;howler;snafu;spectacle;trip
bones,5,noun,anklebone;bare bone;calvaria;cannon bone;carpal bone;cartilage bone;centrum;cheekbone;clavicle;coccyx;cranium;cuboid bone;dentine;ethmoid;fishbone;furcula;gladiolus;heelbone;hipbone;hyoid;ilium;ischium;jaw;lacrimal bone;long bone;manubrium;marrowbone;membrane bone;metacarpal;metatarsal;modiolus;nasal;occiput;ossicle;palatine;pastern;phalanx;pubis;ramus;rib;round bone;sacrum;scapula;sesamoid bone;short bone;sinciput;skull;sphenoid bone;splint bone;sternum;tarsal;temporal bone;tooth;turbinate bone;tympanic bone;vertebra;vomer;wormian bone;xiphoid process;zygoma
bonus,5,noun,dividend;premium;sales incentive
boost,5,noun,morale building
boost,5,verb,carry;connive at;contribute;feed;foster;help;spur
booth,5,noun,confessional;polling booth;prompt box;shower stall;telephone booth;tollbooth;voting booth|stall
booze,5,noun,aqua vitae;aquavit;arrack;bitters;brandy;firewater;gin;lacing;mescal;ouzo;rum;schnapps;tequila;vodka;whiskey
booze,5,verb,carry;claret;port;pub-crawl;souse;tank;tipple;wine
bored,5,verb,counter-drill;spud;trepan
borer,5,noun,cross bit;star drill;straight flute
bosom,5,verb,clinch;cuddle;interlock
boson,5,noun,gauge boson;meson
botch,5,noun,bobble;bull;clanger;faux pas;fluff;fumble;howler;snafu;spectacle;trip
bound,5,noun,brink;lower bound;margin;periphery;rim;thalweg;upper bound|boundary line;bourn;city line;county line;district line;edge;end;frontier;hairline;heliopause;limit;outline;shoreline;surface|knife-edge;starkness;thermal barrier;utmost;verge|caper;pounce
bound,5,verb,bounce;bounce;burst;caper;capriole;curvet;galumph;hop;hop;leapfrog;pronk;saltate;ski jump;vault;vault|shore;skirt;verge|baffle;clamp down;draw the line;gate;hamper;inhibit;mark off;reduce;restrain;rule;stiffen;tie|carom;kick back;skip|bind|befriend;fixate|cement;gird;swaddle|chain up;faggot;faggot;hog-tie|article;indenture;pledge;tie down|rebind|band;cord;gag;knot;lace;lash;lash together;loop;retie;rope;strap;tie up;truss|ligate|obstipate
bovid,5,noun,antelope;bison;bovine;forest goat;goat;goat antelope;musk ox;old world buffalo;sheep;wild sheep
bowed,5,verb,congee|curtsy;genuflect;scrape;take a bow|huddle;squinch
bowel,5,noun,large intestine;small intestine
bower,5,noun,grape arbor
bowls,5,noun,fishbowl;jorum;mazer;toilet bowl|cereal bowl;finger bowl;mixing bowl;porringer;punch bowl;salad bowl;slop basin;soup bowl|amphitheater;ballpark;bullring;circus;dome;football stadium;hippodrome;skybox
bowls,5,verb,skittle
boxed,5,verb,prizefight;shadowbox;spar
boxer,5,noun,bantamweight;featherweight;flyweight;heavyweight;junior featherweight;junior lightweight;junior middleweight;junior welterweight;light flyweight;light heavyweight;light middleweight;light welterweight;lightweight;middleweight;prizefighter;puncher;slugger;sparring partner;stumblebum;super heavyweight;welterweight
brace,5,noun,ankle brace;back brace;knee brace;neck brace;skeg|doubleton|tweedledum and tweedledee|royal brace|crosspiece;gusset;guy;stay;stringer;strut;tie
